shop_no,addr,floor,rgn1_nm,rgn2_nm,rgn3_nm,shop_category,latitude,longitude,PICK
13819222,서울특별시 서초구 강남대로6길 28-9,1,서울특별시,서초구,양재동,JAPANESE,37.46705024,127.04312906,1
13841893,서울특별시 서초구 방배로 87,1,서울특별시,서초구,방배동,CAFE,37.48215877,126.99691062,1
13842348,서울특별시 서초구 남부순환로347길 23,1,서울특별시,서초구,서초동,CHINESE,37.48540901,127.03135184,1
13846664,서울특별시 서초구 명달로 93,1,서울특별시,서초구,서초동,CHINESE,37.48568626,127.00379878,1
13847298,서울특별시 서초구 서운로 138,-1,서울특별시,서초구,서초동,ASIAN,37.49599101,127.02524098,1
13857784,서울특별시 서초구 사평대로53길 27,2,서울특별시,서초구,반포동,JAPANESE,37.50543428,127.02135218,1
13929368,서울특별시 서초구 방배로31길 8,1,서울특별시,서초구,방배동,ZZIM_TANG,37.49090765,126.99088314,1
13865873,서울특별시 서초구 신반포로45길 40,1,서울특별시,서초구,잠원동,CAFE,37.51218344,127.01818561,1
13872963,서울특별시 서초구 원터2길 4,1,서울특별시,서초구,원지동,ZZIM_TANG,37.44424757,127.05640628,1
13881597,서울특별시 서초구 양재대로2길 100-11,1,서울특별시,서초구,우면동,BAEKBAN,37.45646765,127.01624292,1
13911197,서울특별시 서초구 방배로13길 28,1,서울특별시,서초구,방배동,CAFE,37.48279755,126.99491078,1
13923580,서울특별시 서초구 마방로10길 34-11,1,서울특별시,서초구,양재동,SNACK,37.47566037,127.0439343,1
13935969,서울특별시 서초구 서초대로 2,2,서울특별시,서초구,방배동,CAFE,37.48507484,126.98274516,1
13950609,서울특별시 서초구 서초중앙로24길 35,1,서울특별시,서초구,서초동,BAEKBAN,37.49543538,127.01746393,1
13989513,서울특별시 서초구 효령로 423,1,서울특별시,서초구,서초동,CAFE,37.48929742,127.02993519,1
14051741,서울특별시 서초구 서초대로 13,-1,서울특별시,서초구,방배동,ZZIM_TANG,37.4859081,126.98382837,1
14080346,서울특별시 서초구 서초중앙로22길 45,1,서울특별시,서초구,서초동,CAFE,37.49351891,127.0164363,1
14096297,서울특별시 서초구 언남11길 34-13,1,서울특별시,서초구,양재동,CAFE,37.47596588,127.04357321,1
14109500,서울특별시 서초구 남부순환로358길 63,1,서울특별시,서초구,양재동,WESTERN,37.48438152,127.04079545,1
14115279,서울특별시 서초구 마방로 48,1,서울특별시,서초구,양재동,CAFE,37.476501,127.042617,1
14132829,서울특별시 서초구 서운로 138,-1,서울특별시,서초구,서초동,JAPANESE,37.49599101,127.02524098,1
14138859,서울특별시 서초구 방배중앙로 204,1,서울특별시,서초구,방배동,JAPANESE,37.49726793,126.98571677,1
10910098,서울특별시 서초구 양재동,2,서울특별시,서초구,양재동,WESTERN,37.4841576,127.0350323,1
12035732,서울특별시 서초구 신반포로 332,1,서울특별시,서초구,반포동,CAFE,37.51040591,127.02007438,1
13117402,서울특별시 서초구 반포동 717-3,1,서울특별시,서초구,반포동,BAEKBAN,37.50846166,127.01860235,1
13128902,서울특별시 서초구 강남대로69길 8,1,서울특별시,서초구,서초동,WESTERN,37.50182365,127.02462976,1
13137160,서울특별시 서초구 명달로9길 5,1,서울특별시,서초구,방배동,ZZIM_TANG,37.48188116,127.00446549,1
13146713,서울특별시 서초구 잠원동 58-24,-1,서울특별시,서초구,잠원동,CHINESE,37.508557756447935,127.01175574620575,1
13149434,서울특별시 서초구 방배동 450-26,2,서울특별시,서초구,방배동,ZZIM_TANG,37.47735354,126.98366196,1
13174993,서울특별시 서초구 양재천로19길 48,1,서울특별시,서초구,양재동,ZZIM_TANG,37.47746561,127.03812922,1
13175127,서울특별시 서초구 방배동 810-2,2,서울특별시,서초구,방배동,CHINESE,37.49276855,126.99110529,1
13496779,서울특별시 서초구 양재동 264-12,1,서울특별시,서초구,양재동,BAEKBAN,37.47577145,127.04279551,1
13502976,서울 서초구 양재동 6-37,1,서울특별시,서초구,양재동,CHICKEN,37.48163185,127.04115661,1
13506738,서울특별시 서초구 서초동 1457-2,0,서울특별시,서초구,서초동,ZZIM_TANG,37.48435327,127.01443674,1
13511524,서울특별시 서초구 반포동 707-7,1,서울특별시,서초구,반포동,CHICKEN,37.50962824,127.02099098,1
13512061,서울특별시 서초구 양재동 13-1,-1,서울특별시,서초구,양재동,CHICKEN,37.48363151,127.03540707,1
13518760,서울특별시 서초구 서초동 1358-1,1,서울특별시,서초구,서초동,BAEKBAN,37.4872699,127.03101848,1
13527321,서울특별시 서초구 서초동 1304,1,서울특별시,서초구,서초동,CAFE,37.50235137,127.02485195,1
13527805,서울특별시 서초구 강남대로 267,3,서울특별시,서초구,서초동,CAFE,37.48715883,127.03232392,1
13532579,서울특별시 서초구 양재동 349,0,서울특별시,서초구,양재동,MEAT,37.46805011,127.04207357,1
13554115,서울특별시 서초구 잠원동 70-2,1,서울특별시,서초구,잠원동,CAFE,37.50937802,127.00727002,1
13561372,서울특별시 서초구 반포동 722-5,1,서울특별시,서초구,반포동,JAPANESE,37.50912831,127.02171315,1
13570948,서울특별시 서초구 방배동 936-10,3,서울특별시,서초구,방배동,ZZIM_TANG,37.48679706,126.99377188,1
13578438,서울특별시 서초구 양재동 316-6,1,서울특별시,서초구,양재동,PIZZA,37.46985541,127.03954597,1
13585914,서울 서초구 서초동 1659-18,1,서울특별시,서초구,서초동,ZZIM_TANG,37.492693,127.016183,1
13594788,서울특별시 서초구 잠원동 58-24,2,서울특별시,서초구,잠원동,ASIAN,37.50960032,127.01324169,1
13599337,서울특별시 서초구 잠원동 75-19,-1,서울특별시,서초구,잠원동,JAPANESE,37.50610056,127.0036871,1
13599641,서울특별시 서초구 반포동 118-3,4,서울특별시,서초구,반포동,WESTERN,37.505138757076914,127.00953694875244,1
13603886,서울특별시 서초구 반포동 95-6,1,서울특별시,서초구,반포동,CAFE,37.49824026,126.99813228,1
13618343,서울특별시 서초구 방배동 451-26,1,서울특별시,서초구,방배동,MEAT,37.47799235,126.98371749,1
13620853,서울특별시 서초구 서초동 1718-4,1,서울특별시,서초구,서초동,BAEKBAN,37.49282442,127.00921475,1
13626669,서울특별시 서초구 방배동 451-33,1,서울특별시,서초구,방배동,CAFE,37.47899224,126.98380079,1
13642204,서울특별시 서초구 방배동 450-9,0,서울특별시,서초구,방배동,BAEKBAN,37.47752018,126.98366196,1
13643975,서울특별시 서초구 강남대로 373,1,서울특별시,서초구,서초동,CAFE,37.49596328,127.02799073,1
13652156,서울특별시 서초구 양재동 391-18,1,서울특별시,서초구,양재동,JAPANESE,37.47204972,127.04637862,1
13660823,서울특별시 서초구 잠원동 35-15,1,서울특별시,서초구,잠원동,MEAT,37.51254451,127.01815783,1
13684887,서울특별시 서초구 서초동 1303-35,1,서울특별시,서초구,서초동,CAFE,37.50282353,127.02451863,1
13705961,서울특별시 서초구 서운로 6,1,서울특별시,서초구,서초동,CAFE,37.48471462,127.02987977,1
13913584,서울특별시 서초구 신반포로 340,1,서울특별시,서초구,반포동,BAEKBAN,37.51073922,127.02087985,1
13980593,서울특별시 서초구 동산로 68,1,서울특별시,서초구,양재동,CAFE,37.4720775,127.0464064,1
